Date;MeanTemp;Max;Min
31.10.2018;9.8;10.2;9.4
30.10.2018;10.3;10.6;9.9
29.10.2018;10.2;11.1;9.7
28.10.2018;10.3;10.8;9.9
27.10.2018;11.7;12.3;10.8
26.10.2018;12.4;13.3;12
25.10.2018;11.9;12.9;11.1
24.10.2018;11.4;12;10.7
23.10.2018;11.6;12.3;11
22.10.2018;11.7;12.1;11.3
21.10.2018;12.3;12.5;12
20.10.2018;12.5;13.5;12.2
19.10.2018;12.7;13.7;12.2
18.10.2018;13.1;14.1;12.4
17.10.2018;13.4;14;12.7
16.10.2018;13.5;14.3;13
15.10.2018;13.8;15.1;13.3
14.10.2018;13.9;14.4;13.6
13.10.2018;14.2;14.9;13.8
12.10.2018;14.6;15;14.2
11.10.2018;14.7;15;14.4
10.10.2018;15.1;15.8;14.2
09.10.2018;14.5;15.1;13.8
08.10.2018;14.3;14.6;13.8
07.10.2018;14.2;14.4;13.9
06.10.2018;13.9;14.8;13.2
05.10.2018;13.5;14.2;12.6
04.10.2018;13.2;13.7;12.5
03.10.2018;12.6;13.3;12.1
02.10.2018;12.5;13.3;12.1
01.10.2018;14.1;14.8;13.3
30.09.2018;14.1;14.8;13.5
29.09.2018;14.8;15.3;14.2
28.09.2018;14.7;15.6;13.9
27.09.2018;14.1;15;13.3
26.09.2018;13.3;14.2;12.2
25.09.2018;13.5;14.1;12.8
24.09.2018;15.5;16.2;14
23.09.2018;16.1;16.8;15.4
22.09.2018;16.5;17;16.1
21.09.2018;17.3;18.2;16.2
20.09.2018;17.4;18.4;16.2
19.09.2018;17.6;18.2;16.5
18.09.2018;17.8;18.3;17.3
17.09.2018;17.4;18.3;16.6
16.09.2018;16.2;16.6;15.6
15.09.2018;16.4;17.1;16
14.09.2018;17.3;18;16.7
13.09.2018;17.3;17.7;16.8
12.09.2018;17.3;17.9;16.4
11.09.2018;17.2;17.7;16.5
10.09.2018;16.9;17.4;16.2
09.09.2018;16.6;17.8;15.6
08.09.2018;16.5;17.2;15.8
07.09.2018;17;17.7;16.3
06.09.2018;16.8;17.9;15.7
05.09.2018;16.2;17.1;15.4
04.09.2018;16;16.3;15.7
03.09.2018;15.9;16.5;15.4
02.09.2018;15.3;15.9;15
01.09.2018;15.7;16.3;15
31.08.2018;17.1;18;16.3
30.08.2018;18.7;19.3;18
29.08.2018;18.9;20;18
28.08.2018;18.4;19.3;17.5
27.08.2018;17;17.9;16.1
26.08.2018;17;17.5;16.7
25.08.2018;18.3;19.6;17.2
24.08.2018;20.1;20.8;19.2
23.08.2018;20.9;21.3;20.5
22.08.2018;21;21.5;20.7
21.08.2018;20.7;21.4;20
20.08.2018;20.7;21.6;20.1
19.08.2018;20.4;20.9;19.9
18.08.2018;20.3;20.7;19.4
17.08.2018;20.3;21.1;19.7
16.08.2018;20.1;21.2;19.2
15.08.2018;19.8;20.4;19.3
14.08.2018;20;20.9;19.3
13.08.2018;20;21.5;19
12.08.2018;19;20.4;17.9
11.08.2018;19;19.9;18.4
10.08.2018;20.6;21.3;19.1
09.08.2018;21.6;22.9;20.7
08.08.2018;21.4;22.4;20.7
07.08.2018;21.8;22.9;21.2
06.08.2018;21.7;22.8;20.8
05.08.2018;21.8;22.7;21.3
04.08.2018;21.9;22.9;21.2
03.08.2018;21.8;22.6;21.1
02.08.2018;21.9;22.8;21.1
01.08.2018;21.7;22.6;20.9
31.07.2018;21.4;22.4;20.7
30.07.2018;21.1;21.9;20.4
29.07.2018;20.5;21.5;19.8
28.07.2018;20.3;20.9;19.8
27.07.2018;20.4;21.1;19.6
26.07.2018;19.8;20.6;18.7
25.07.2018;19.7;20.7;18.6
24.07.2018;18.7;20.1;17.1
23.07.2018;17.9;18.8;16.8
22.07.2018;17.8;18.6;17.4
21.07.2018;19;19.9;18.6
20.07.2018;19.5;20.3;18.4
19.07.2018;19.3;20.3;18
18.07.2018;18.9;20;17.8
17.07.2018;19.2;19.9;18.4
16.07.2018;19.2;20.2;18.4
15.07.2018;18.4;19;17.7
14.07.2018;18.4;19.2;17.1
13.07.2018;18.3;19.5;16.7
12.07.2018;17.3;18.7;15.6
11.07.2018;17.6;18.3;16.7
10.07.2018;17.9;18.9;16.8
09.07.2018;18;19.1;16.7
08.07.2018;17;18.3;15.9
07.07.2018;15.7;16.9;14.7
06.07.2018;16.7;17.9;15.6
05.07.2018;18.1;18.9;17
04.07.2018;18.2;19.2;16.9
03.07.2018;18.2;19.3;16.8
02.07.2018;17.9;19.1;16.6
01.07.2018;17.2;18.1;16
30.06.2018;16.4;18;15
29.06.2018;15.4;16.1;14.7
28.06.2018;16.5;17.2;15.7
27.06.2018;17.2;18.2;16
26.06.2018;16.7;17.7;15.4
25.06.2018;16.8;17.5;16.1
24.06.2018;16.2;17.1;15.4
23.06.2018;16.1;16.8;15.4
22.06.2018;17.7;19.1;16.6
21.06.2018;18.8;20.4;17.2
20.06.2018;18.6;20;17
19.06.2018;17.8;19.2;16
18.06.2018;17.7;18.5;16.5
17.06.2018;16.6;17.6;15.4
16.06.2018;16.5;17.7;15
15.06.2018;16;17.4;14.5
14.06.2018;14.9;15.7;14.1
13.06.2018;16.6;18.3;14.9
12.06.2018;19.1;20;18.4
11.06.2018;19.9;20.6;19
10.06.2018;18.6;19.6;17.9
09.06.2018;18.3;19.2;17
08.06.2018;18.7;20;17.5
07.06.2018;18.3;19.4;16.6
06.06.2018;18.6;19.7;17.5
05.06.2018;18.4;19.4;17
04.06.2018;18.1;19.5;16.5
03.06.2018;17.2;18.1;16.3
02.06.2018;17.1;17.9;16.3
01.06.2018;17.1;18;16.1
31.05.2018;16.8;17.8;15.8
30.05.2018;16.8;18;15.2
29.05.2018;16.8;17.6;16
28.05.2018;16;17.6;14.3
27.05.2018;15.3;16.4;14.2
26.05.2018;14.7;16.2;13.5
25.05.2018;14.2;15.6;12.7
24.05.2018;14;14.8;12.9
23.05.2018;13.9;14.9;12.8
22.05.2018;13.2;14.2;12.3
21.05.2018;12.5;13.6;11.6
20.05.2018;12.1;12.7;11.7
19.05.2018;12.3;12.9;11.5
18.05.2018;12.2;13.4;11.1
17.05.2018;11.4;12.2;10.7
16.05.2018;11.7;12.2;11.1
15.05.2018;12.6;13.8;11.9
14.05.2018;14.1;15.1;13.4
13.05.2018;13.7;14.4;12.9
12.05.2018;12.9;14.3;11.6
11.05.2018;12.4;13.4;11.2
10.05.2018;12.1;13.3;10.8
09.05.2018;12.6;13.5;11.6
08.05.2018;12.5;13.5;11.1
07.05.2018;12.5;14;11.4
06.05.2018;12.1;13.3;10.9
05.05.2018;11.4;12.4;10.6
04.05.2018;11.3;11.9;10.8
03.05.2018;11.4;12.4;10.4
02.05.2018;10.9;11.8;10.3
01.05.2018;12.1;12.8;11.5
30.04.2018;12.4;13.3;11.7
29.04.2018;11.9;13;10.7
28.04.2018;11.3;12.9;10.1
27.04.2018;10.1;11.8;9
26.04.2018;11.3;12.2;9.8
25.04.2018;11.8;12.9;10.8
24.04.2018;11.6;12.5;10.6
23.04.2018;11.4;12.3;10.4
22.04.2018;10.9;11.9;10
21.04.2018;10.4;11.6;9.2
20.04.2018;10;11.1;8.6
19.04.2018;9.9;10.9;8.7
18.04.2018;9.7;10.8;8.5
17.04.2018;8.9;10;7.9
16.04.2018;8.4;9.1;7.9
15.04.2018;8.7;9.4;7.8
14.04.2018;8.5;9.8;7.3
13.04.2018;8.9;9.5;8.1
12.04.2018;8.9;9.5;8.1
11.04.2018;8.7;9.6;7.7
10.04.2018;7.9;8.8;7.2
09.04.2018;8.8;9.3;8
08.04.2018;8.2;9.6;7.1
07.04.2018;7.4;8.5;6.2
06.04.2018;7.4;8.3;6.5
05.04.2018;8.2;9.3;7.4
04.04.2018;8.4;9.2;7.5
03.04.2018;7.4;8.5;6.6
02.04.2018;6.1;7;5.2
01.04.2018;5.9;6.3;5.4
31.03.2018;6.2;6.4;5.8
30.03.2018;5.7;6.4;5.1
29.03.2018;6.2;6.5;5.7
28.03.2018;5.9;6.7;5.6
27.03.2018;5.7;5.9;5.5
26.03.2018;6;6.8;5.5
25.03.2018;5.7;6.3;5.2
24.03.2018;5;5.6;4.4
23.03.2018;4.6;5.2;4.2
22.03.2018;3.9;4.5;3.4
21.03.2018;3.8;4.3;3.4
20.03.2018;3.3;3.7;2.9
19.03.2018;3.7;4.3;3.2
18.03.2018;4.7;5.2;4.3
17.03.2018;5.6;6.5;5.1
16.03.2018;6;6.7;5.4
